key	nubKey	nameKey	taxonID	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	datasetKey	parentKey	parent	scientificName	canonicalName	authorship	nameType	rank	origin	taxonomicStatus	nomenclaturalStatus	remarks	numDescendants	references	lastCrawled	lastInterpreted	issues	class
152543168	9185677	8964486	https://www.gbif.org/species/9185677	Animalia	Chordata	NA	Lacertidae	Podarcis	Podarcis siculus	213212180	213212182	213212400	NA	213212491	213212497	152543168	6d9e952f-948c-4483-9807-575348147c7e	213212497	Podarcis	Podarcis siculus (Rafinesque-Schmaltz, 1810)	Podarcis siculus	(Rafinesque-Schmaltz, 1810) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/9185677	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:08.485+00:00		Squamata
152543169	2469188	8963921	https://www.gbif.org/species/2469188	Animalia	Chordata	NA	Lacertidae	Podarcis	Podarcis muralis	213212180	213212182	213212400	NA	213212491	213212497	152543169	6d9e952f-948c-4483-9807-575348147c7e	213212497	Podarcis	Podarcis muralis (Laurenti, 1768)	Podarcis muralis	(Laurenti, 1768) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/pnxu4c, https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/2469188	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:08.492+00:00		Squamata
152543171	2516075	3099620	https://www.gbif.org/species/2516075	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Cumminsiella	Cumminsiella mirabilissima	213212214	213212216	213212239	213212240	213212255	213212257	152543171	6d9e952f-948c-4483-9807-575348147c7e	213212257	Cumminsiella	Cumminsiella mirabilissima (Peck) Nannf.	Cumminsiella mirabilissima	(Peck) Nannf.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2516075	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.721+00:00		Pucciniomycetes
152543176	3376286	9529988	https://www.gbif.org/species/3376286	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Puccinia	Puccinia pazschkei	213212214	213212216	213212239	213212240	213212255	213212269	152543176	6d9e952f-948c-4483-9807-575348147c7e	213212269	Puccinia	Puccinia pazschkei Dietel	Puccinia pazschkei	Dietel	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/3376286	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.813+00:00		Pucciniomycetes
152543178	4344674	3375465	https://www.gbif.org/species/4344674	Animalia	Platyhelminthes	Tricladida	Dendrocoelidae	Dendrocoelum	Dendrocoelum romanodanubiale	213212180	213213326	NA	213213334	213213361	213213363	152543178	6d9e952f-948c-4483-9807-575348147c7e	213213363	Dendrocoelum	Dendrocoelum romanodanubiale (Codreanu, 1949)	Dendrocoelum romanodanubiale	(Codreanu, 1949) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/yxcq07	0	https://www.gbif.org/species/4344674	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:11.331+00:00		NA
152543181	2515351	9529670	https://www.gbif.org/species/2515351	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Puccinia	Puccinia oxalidis	213212214	213212216	213212239	213212240	213212255	213212269	152543181	6d9e952f-948c-4483-9807-575348147c7e	213212269	Puccinia	Puccinia oxalidis Dietel & Ellis	Puccinia oxalidis	Dietel & Ellis	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2515351	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.763+00:00		Pucciniomycetes
152543183	2515236	9522741	https://www.gbif.org/species/2515236	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Puccinia	Puccinia antirrhini	213212214	213212216	213212239	213212240	213212255	213212269	152543183	6d9e952f-948c-4483-9807-575348147c7e	213212269	Puccinia	Puccinia antirrhini Dietel & Holw.	Puccinia antirrhini	Dietel & Holw.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2515236	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.780+00:00		Pucciniomycetes
152543185	2514972	9528165	https://www.gbif.org/species/2514972	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Puccinia	Puccinia komarovii	213212214	213212216	213212239	213212240	213212255	213212269	152543185	6d9e952f-948c-4483-9807-575348147c7e	213212269	Puccinia	Puccinia komarovii Tranzschel	Puccinia komarovii	Tranzschel	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2514972	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.788+00:00		Pucciniomycetes
152543187	2514966	9531189	https://www.gbif.org/species/2514966	Fungi	Basidiomycota	Pucciniales	Pucciniaceae	Puccinia	Puccinia sorghi	213212214	213212216	213212239	213212240	213212255	213212269	152543187	6d9e952f-948c-4483-9807-575348147c7e	213212269	Puccinia	Puccinia sorghi Schwein.	Puccinia sorghi	Schwein.	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/2dboyn	0	https://www.gbif.org/species/2514966	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.822+00:00		Pucciniomycetes
152543192	2502938	1479636	https://www.gbif.org/species/2502938	Animalia	Platyhelminthes	Tricladida	Geoplanidae	Bipalium	Bipalium kewense	213212180	213213326	NA	213213334	213213336	213213354	152543192	6d9e952f-948c-4483-9807-575348147c7e	213213354	Bipalium	Bipalium kewense Moseley, 1878	Bipalium kewense	Moseley, 1878	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/2502938	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:11.313+00:00		NA
