X,scientificName,taxonKey,rank,taxonomicStatus,kingdom,includes,classKey,gbifKey
10230,Vicia narbonensis,5831060,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10231,Vicia narbonensis,2161467,SPECIES,ACCEPTED,Plantae,NA,367,213213771
10232,Vicia narbonensis,2769073,SPECIES,ACCEPTED,Plantae,NA,196,213213771
10233,Vicia narbonensis,5352372,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10234,Vicia narbonensis,4925890,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10235,Vicia narbonensis,6157035,SPECIES,ACCEPTED,Plantae,NA,11418114,213213771
10236,Vicia narbonensis,4036350,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10237,Vicia narbonensis,10948891,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10238,Vicia narbonensis,7225621,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10239,Vicia narbonensis,8338571,SPECIES,ACCEPTED,Plantae,NA,196,213213771
10240,Vicia narbonensis,7998563,SPECIES,ACCEPTED,Plantae,NA,196,213213771
10241,Vicia narbonensis,7223276,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10242,Vicia narbonensis,8782549,SPECIES,ACCEPTED,Plantae,NA,11592253,213213771
10243,Vicia narbonensis,2202786,SPECIES,ACCEPTED,Plantae,NA,229,213213771
10244,Vicia narbonensis,8045533,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10245,Vicia narbonensis,7652364,SPECIES,ACCEPTED,Plantae,NA,367,213213771
10246,Vicia narbonensis,4248063,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10247,Vicia narbonensis,7323906,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10248,Vicia narbonensis,6409536,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10249,Vicia narbonensis,9771172,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10250,Vicia narbonensis,4036957,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10251,Vicia narbonensis,10755213,SPECIES,ACCEPTED,Plantae,NA,196,213213771
10252,Vicia narbonensis,5659657,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10253,Vicia narbonensis,8421432,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10254,Vicia narbonensis,4090836,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10255,Vicia narbonensis,7226776,SPECIES,ACCEPTED,Plantae,NA,196,213213771
10256,Vicia narbonensis,7466434,SPECIES,ACCEPTED,Plantae,NA,220,213213771
10257,Vicia narbonensis,3065244,NA,NA,NA,NA,220,213213771
10258,Vicia narbonensis narbonensis,NA,NA,NA,NA,NA,NA,213213758
10259,Vicia noeana,2975097,SPECIES,ACCEPTED,Plantae,NA,220,152545176
10260,Vicia pannonica,2974811,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10261,Vicia pannonica,9603492,VARIETY,SYNONYM,Plantae,NA,220,213213757
10262,Vicia pannonica,8345607,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10263,Vicia pannonica,7272185,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10264,Vicia pannonica,7224069,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10265,Vicia pannonica,7324507,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10266,Vicia pannonica,4248063,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10267,Vicia pannonica,6432925,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10268,Vicia pannonica,8257546,SPECIES,ACCEPTED,Plantae,NA,196,213213757
10269,Vicia pannonica,8421432,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10270,Vicia pannonica,3757050,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10271,Vicia pannonica,3042889,SPECIES,ACCEPTED,Plantae,NA,220,213213757
10272,Vicia pannonica,5352425,SPECIES,ACCEPTED,Plantae,NA,220,213213757
