insp_order;coordinates
814683;POINT(4.845092381602733 51.024561924498876)
1067901;POINT(4.842800152756493 50.847904799573634)
1087455;POINT(4.5418872390881315 50.85362008187598)
1122583;POINT(4.530037007114773 50.83388387130558)
1129872;POINT(3.6466486414447257 50.97528200321814)
1178228;POINT(4.46764453848788 51.173561610072476)
1185579;POINT(2.917727983461966 51.220042567159346)
101368;POINT(4.1423809818132735 51.26174041306009)
495720;POINT(4.146451921786488 51.26089264794566)
1235946;POINT(4.608294996958264 51.25551942301844)
1249423;POINT(3.2751329392608763 50.82364738716914)
1277456;POINT(4.705563039263125 50.85992751664563)
1322346;POINT(4.4760576460486625 51.00595263122772)
754022;POINT(3.2869191969330758 50.84981386213323)
1374760;POINT(3.5163304225108702 50.96483432471567)
1381248;POINT(3.020451601421919 50.78433413257756)
1391163;POINT(3.3703938195599688 50.850900315309296)
1408839;POINT(3.2945274764394243 50.850792142033974)
1499717;POINT(4.4967001321813544 51.249910233185105)
