Brandweer;straatnaam;huisnummer;Gemeente;Provincie;postcode;datum bestrijding;opmerking;Alreeds gemeld/Nieuwe melding;country;fullAddress;geometry
Brandweerzone Vlaamse Ardennen;Clementine De Niestraat;3;Ronse;Oost-Vlaanderen;9600;10/04/2023;NA;NA;Belgium;3 Clementine De Niestraat , 9600 Ronse Belgium;c(3.61860284109311, 50.7508983024703)
NA;Dammekensstraat;196;Ronse;Oost-Vlaanderen;9600;9/01/2023;NA;NA;Belgium;196 Dammekensstraat , 9600 Ronse Belgium;c(3.61406584017288, 50.7648916524658)
NA;Edouard Jolystraat;24;Ronse;Oost-Vlaanderen;9600;26/09/2023;NA;NA;Belgium;24 Edouard Jolystraat , 9600 Ronse Belgium;c(3.59454657486817, 50.7587707524655)
NA;Engelsenlaan;268;Ronse;Oost-Vlaanderen;9600;8/09/2023;NA;NA;Belgium;268 Engelsenlaan , 9600 Ronse Belgium;c(3.58255989608717, 50.7431444024686)
NA;Engelsenlaan;150;Ronse;Oost-Vlaanderen;9600;8/10/2023;NA;NA;Belgium;150 Engelsenlaan , 9600 Ronse Belgium;c(3.58255989608717, 50.7431444024686)
NA;Ernest Solvaystraat;2;Ronse;Oost-Vlaanderen;9600;25/07/2023;NA;NA;Belgium;2 Ernest Solvaystraat , 9600 Ronse Belgium;c(3.60357059608123, 50.7349392024733)
NA;Floreal;153;Ronse;Oost-Vlaanderen;9600;28/09/2023;NA;NA;Belgium;153 Floreal , 9600 Ronse Belgium;c(3.57825909608814, 50.7424954024684)
NA;Germinal;56;Ronse;Oost-Vlaanderen;9600;8/11/2023;NA;NA;Belgium;56 Germinal , 9600 Ronse Belgium;c(3.62247645174169, 50.7472597524718)
NA;Jean-Baptiste Dekeyserstraat;7;Ronse;Oost-Vlaanderen;9600;18/08/2023;NA;NA;Belgium;7 Jean-Baptiste Dekeyserstraat , 9600 Ronse Belgium;c(3.60147589608277, 50.7448362024702)
NA;Jean-Baptiste Mouroitplein;11;Ronse;Oost-Vlaanderen;9600;8/10/2023;NA;NA;Belgium;11 Jean-Baptiste Mouroitplein , 9600 Ronse Belgium;c(3.60334188828134, 50.7490622793555)
NA;Kapellestraat;213;Ronse;Oost-Vlaanderen;9600;20/07/2023;NA;NA;Belgium;213 Kapellestraat , 9600 Ronse Belgium;c(3.57763958492071, 50.7565168024643)
NA;Kapellestraat;158;Ronse;Oost-Vlaanderen;9600;25/07/2023;NA;NA;Belgium;158 Kapellestraat , 9600 Ronse Belgium;c(3.585918396087, 50.7493333024672)
NA;Kasteelstraat;39;Ronse;Oost-Vlaanderen;9600;9/05/2023;NA;NA;Belgium;39 Kasteelstraat , 9600 Ronse Belgium;c(3.59809349608386, 50.7474238024691)
NA;Kasteelstraat;39;Ronse;Oost-Vlaanderen;9600;13/09/2023;NA;NA;Belgium;39 Kasteelstraat , 9600 Ronse Belgium;c(3.59809349608386, 50.7474238024691)
NA;Kleine Heide;61;Ronse;Oost-Vlaanderen;9600;9/04/2023;NA;NA;Belgium;61 Kleine Heide , 9600 Ronse Belgium;c(3.63602370330994, 50.7314385524779)
NA;Koekamerstraat;7;Ronse;Oost-Vlaanderen;9600;8/02/2023;NA;NA;Belgium;7 Koekamerstraat , 9600 Ronse Belgium;c(3.67074343531008, 50.7710936024702)
NA;Kruisstraat;232;Ronse;Oost-Vlaanderen;9600;8/09/2023;NA;NA;Belgium;232 Kruisstraat , 9600 Ronse Belgium;c(3.59673129608448, 50.7501633024682)
Brandweerzone Vlaamse Ardennen;Lievensveld;7;Ronse;Oost-Vlaanderen;9600;10/06/2023;NA;NA;Belgium;7 Lievensveld , 9600 Ronse Belgium;c(3.64626906274291, 50.7482798524741)
NA;Oscar Delghuststraat;64;Ronse;Oost-Vlaanderen;9600;9/11/2023;NA;NA;Belgium;64 Oscar Delghuststraat , 9600 Ronse Belgium;c(3.61434709608009, 50.7489726024705)
NA;Riekestraat;11;Ronse;Oost-Vlaanderen;9600;17/08/2023;NA;NA;Belgium;11 Riekestraat , 9600 Ronse Belgium;c(3.56903226846432, 50.7564809024633)
NA;Robert Schumanstraat;1;Ronse;Oost-Vlaanderen;9600;26/09/2023;NA;NA;Belgium;1 Robert Schumanstraat , 9600 Ronse Belgium;c(3.62089414607819, 50.745921102472)
NA;Rozenaaksesteenweg;35;Ronse;Oost-Vlaanderen;9600;17/07/2023;NA;NA;Belgium;35 Rozenaaksesteenweg , 9600 Ronse Belgium;c(3.56431509609216, 50.748704502465)
NA;Savooistraat;1;Ronse;Oost-Vlaanderen;9600;25/07/2023;NA;NA;Belgium;1 Savooistraat , 9600 Ronse Belgium;c(3.62117796060822, 50.7524419524702)
NA;Scheldekouter;91;Ronse;Oost-Vlaanderen;9600;8/02/2023;NA;NA;Belgium;91 Scheldekouter , 9600 Ronse Belgium;c(3.61351439607941, 50.7405181024728)
NA;Sint-Cornelisstraat;35;Ronse;Oost-Vlaanderen;9600;9/05/2023;NA;NA;Belgium;35 Sint-Cornelisstraat , 9600 Ronse Belgium;c(3.59779669608405, 50.7485084024688)
NA;Stefaan Modest Glorieuxlaan;55;Ronse;Oost-Vlaanderen;9600;27/06/2023;NA;NA;Belgium;55 Stefaan Modest Glorieuxlaan , 9600 Ronse Belgium;c(3.60184019608349, 50.752556002468)
NA;Stefaan Modest Glorieuxlaan;55;Ronse;Oost-Vlaanderen;9600;31/08/2023;NA;NA;Belgium;55 Stefaan Modest Glorieuxlaan , 9600 Ronse Belgium;c(3.60184019608349, 50.752556002468)
Brandweerzone Vlaamse Ardennen;Wijnstraat;10;Ronse;Oost-Vlaanderen;9600;17/10/2023;NA;NA;Belgium;10 Wijnstraat , 9600 Ronse Belgium;c(3.59743979608422, 50.7493585024685)
Brandweerzone Meetjesland;Comercaatsweg;28;Sint-Laureins;Oost-Vlaanderen;9980;8/04/2023;NA;NA;Belgium;28 Comercaatsweg , 9980 Sint-Laureins Belgium;c(3.53767679614978, 51.2436659023213)
Brandweerzone Meetjesland;Leemweg;54;Sint-Laureins;Oost-Vlaanderen;9980;8/07/2023;NA;NA;Belgium;54 Leemweg , 9980 Sint-Laureins Belgium;c(3.51975719615263, 51.2294377023234)
Brandweerzone Meetjesland;Mandeweg;22;Sint-Laureins;Oost-Vlaanderen;9980;NA;NA;NA;Belgium;22 Mandeweg , 9980 Sint-Laureins Belgium;c(3.5665839958687, 51.2495280023227)
Brandweerzone Meetjesland;Mandeweg;22;Sint-Laureins;Oost-Vlaanderen;9980;7/04/2023;NA;NA;Belgium;22 Mandeweg , 9980 Sint-Laureins Belgium;c(3.5665839958687, 51.2495280023227)
Brandweerzone Meetjesland;Turflaan;20;Sint-Laureins;Oost-Vlaanderen;9980;8/11/2023;NA;NA;Belgium;20 Turflaan , 9980 Sint-Laureins Belgium;c(3.52630199615208, 51.2394500023212)
Brandweerzone Meetjesland;Vlamingstraat;71;Sint-Laureins;Oost-Vlaanderen;9980;16/08/2023;NA;NA;Belgium;71 Vlamingstraat , 9980 Sint-Laureins Belgium;c(3.53561369615045, 51.2453550023206)
NA;Bruisbeke;83;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;27/07/2023;NA;NA;Belgium;83 Bruisbeke , 9520 Sint-Lievens-Houtem Belgium;c(3.8425231960436, 50.9292723024435)
NA;Hoeksken;54;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;26/06/2023;NA;NA;Belgium;54 Hoeksken , 9520 Sint-Lievens-Houtem Belgium;c(3.84218669604241, 50.9171538024469)
NA;Ijshoutestraat;7;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;9/07/2023;NA;NA;Belgium;7 Ijshoutestraat , 9520 Sint-Lievens-Houtem Belgium;c(3.82880239604691, 50.929079602442)
NA;Kerkkouterstraat;45;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;31/08/2023;NA;NA;Belgium;45 Kerkkouterstraat , 9520 Sint-Lievens-Houtem Belgium;c(3.86782899603909, 50.9450096024417)
Brandweerzone Vlaamse Ardennen;Peperstraatje;2;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;10/10/2023;NA;NA;Belgium;2 Peperstraatje , 9520 Sint-Lievens-Houtem Belgium;c(3.8970252960303, 50.9289223024495)
NA;Sint-Fledericusstraat;59;Sint-Lievens-Houtem;Oost-Vlaanderen;9520;8/07/2023;NA;NA;Belgium;59 Sint-Fledericusstraat , 9520 Sint-Lievens-Houtem Belgium;c(3.89781199603131, 50.9404248024463)
NA;Christoffelpolder;3;St.-Laureins;Oost-Vlaanderen;9988;30/05/2023;NA;NA;Belgium;3 Christoffelpolder , 9988 St.-Laureins Belgium;c(3.63878073791069, 51.2593307523276)
Brandweerzone Waasland;Stadionstraat;14;Stekene;Oost-Vlaanderen;9190;6/07/2023;NA;NA;Belgium;14 Stadionstraat , 9190 Stekene Belgium;c(4.04187720390563, 51.2053462523863)
NA;Bouvelostraat;28;Wortegem-Petegem;Oost-Vlaanderen;9790;8/07/2023;NA;NA;Belgium;28 Bouvelostraat , 9790 Wortegem-Petegem Belgium;c(3.50032049611777, 50.8462045024301)
NA;Krauwelstraat;16;Wortegem-Petegem;Oost-Vlaanderen;9790;25/07/2023;NA;NA;Belgium;16 Krauwelstraat , 9790 Wortegem-Petegem Belgium;c(3.54780159610489, 50.8324956024392)
NA;Acacialaan;102;Zottegem;Oost-Vlaanderen;9620;29/09/2023;NA;NA;Belgium;102 Acacialaan , 9620 Zottegem Belgium;c(3.82017171125975, 50.8657520024593)
NA;Beislovenstraat;7;Zottegem;Oost-Vlaanderen;9620;9/07/2023;NA;NA;Belgium;7 Beislovenstraat , 9620 Zottegem Belgium;c(3.80845037479608, 50.8749291524554)
NA;Bevegemkouter;1;Zottegem;Oost-Vlaanderen;9620;9/12/2023;NA;NA;Belgium;1 Bevegemkouter , 9620 Zottegem Belgium;c(3.81714739604325, 50.8668855024587)
NA;Brakelstraat;112;Zottegem;Oost-Vlaanderen;9620;22/08/2023;NA;NA;Belgium;112 Brakelstraat , 9620 Zottegem Belgium;c(3.78565205520164, 50.8311311024655)
NA;Gieterijstraat;21;Zottegem;Oost-Vlaanderen;9620;8/11/2023;NA;NA;Belgium;21 Gieterijstraat , 9620 Zottegem Belgium;c(3.80809824761174, 50.8614649024592)
NA;Godveerdegemstraat;272;Zottegem;Oost-Vlaanderen;9620;8/03/2023;NA;NA;Belgium;272 Godveerdegemstraat , 9620 Zottegem Belgium;c(3.82810644192589, 50.8639857024607)
NA;Godveerdegemstraat;240;Zottegem;Oost-Vlaanderen;9620;13/09/2023;NA;NA;Belgium;240 Godveerdegemstraat , 9620 Zottegem Belgium;c(3.82501454638443, 50.8642747524602)
Brandweerzone Vlaamse Ardennen;Kleine Meerlaan;2;Zottegem;Oost-Vlaanderen;9620;16/10/2023;NA;NA;Belgium;2 Kleine Meerlaan , 9620 Zottegem Belgium;c(3.81157082972353, 50.8614339524596)
NA;Kluisstraat;2;Zottegem;Oost-Vlaanderen;9620;8/09/2023;NA;NA;Belgium;2 Kluisstraat , 9620 Zottegem Belgium;c(3.76773198554621, 50.871175752452)
Brandweerzone Vlaamse Ardennen;Lippenhovestraat;12;Zottegem;Oost-Vlaanderen;9620;10/06/2023;NA;NA;Belgium;12 Lippenhovestraat , 9620 Zottegem Belgium;c(3.80727267612835, 50.8883500524514)
NA;Meire;22;Zottegem;Oost-Vlaanderen;9620;19/06/2023;NA;NA;Belgium;22 Meire , 9620 Zottegem Belgium;c(3.80719408167157, 50.8668597024576)
NA;Neerhofstraat;12;Zottegem;Oost-Vlaanderen;9620;7/12/2023;NA;NA;Belgium;12 Neerhofstraat , 9620 Zottegem Belgium;c(3.80914309604565, 50.8712867024565)
Brandweerzone Vlaamse Ardennen;Penitentenlaan;5;Zottegem;Oost-Vlaanderen;9620;10/04/2023;NA;NA;Belgium;5 Penitentenlaan , 9620 Zottegem Belgium;c(3.78076166960096, 50.8820309024503)
NA;Provinciebaan;374;Zottegem;Oost-Vlaanderen;9620;29/08/2023;NA;NA;Belgium;374 Provinciebaan , 9620 Zottegem Belgium;c(3.76045919809562, 50.885821402447)
NA;Ragestraat;70;Zottegem;Oost-Vlaanderen;9620;23/08/2023;NA;NA;Belgium;70 Ragestraat , 9620 Zottegem Belgium;c(3.81941261751995, 50.8494628524639)
NA;Rodestraat;28;Zottegem;Oost-Vlaanderen;9620;8/11/2023;NA;NA;Belgium;28 Rodestraat , 9620 Zottegem Belgium;c(3.83290821326301, 50.8606840524622)
NA;Sint-Paulusplein;5;Zottegem;Oost-Vlaanderen;9620;24/07/2023;NA;NA;Belgium;5 Sint-Paulusplein , 9620 Zottegem Belgium;c(3.81997907349573, 50.8591692024612)
NA;Sonseindestraat;67;Zottegem;Oost-Vlaanderen;9620;16/08/2023;NA;NA;Belgium;67 Sonseindestraat , 9620 Zottegem Belgium;c(3.77594279605749, 50.9073764024425)
NA;Steenweg op Aalst;13;Zottegem;Oost-Vlaanderen;9620;8/10/2023;NA;NA;Belgium;13 Steenweg op Aalst , 9620 Zottegem Belgium;c(3.81395416007309, 50.8979371524493)
NA;Vlaanderenstraat;3;Zottegem;Oost-Vlaanderen;9620;22/08/2023;NA;NA;Belgium;3 Vlaanderenstraat , 9620 Zottegem Belgium;c(3.81253295519953, 50.8560688024613)
NA;Wijnhuizestraat;33;Zottegem;Oost-Vlaanderen;9620;8/02/2023;NA;NA;Belgium;33 Wijnhuizestraat , 9620 Zottegem Belgium;c(3.82837255583219, 50.8463115524658)
NA;Wurmendries;30;Zottegem;Oost-Vlaanderen;9620;9/07/2023;NA;NA;Belgium;30 Wurmendries , 9620 Zottegem Belgium;c(3.8072483971826, 50.865343452458)
Brandweerzone Vlaamse Ardennen;Zonnelaan;11;Zottegem;Oost-Vlaanderen;9620;13/10/2023;NA;NA;Belgium;11 Zonnelaan , 9620 Zottegem Belgium;c(3.80134616382467, 50.8739106024549)
NA;Bareelstraat;56;Zwalm;Oost-Vlaanderen;9630;28/06/2023;NA;NA;Belgium;56 Bareelstraat , 9630 Zwalm Belgium;c(3.69884119607605, 50.9060931024345)
NA;Beekmeersstraat;2;Zwalm;Oost-Vlaanderen;9630;28/08/2023;NA;NA;Belgium;2 Beekmeersstraat , 9630 Zwalm Belgium;c(3.69763099607535, 50.896598302437)
NA;Borstekouterstraat;32;Zwalm;Oost-Vlaanderen;9630;7/12/2023;NA;NA;Belgium;32 Borstekouterstraat , 9630 Zwalm Belgium;c(3.75016408393164, 50.8647223524519)
NA;Fonteinstraat;7;Zwalm;Oost-Vlaanderen;9630;9/04/2023;NA;NA;Belgium;7 Fonteinstraat , 9630 Zwalm Belgium;c(3.75015084443108, 50.8661384024515)
Brandweerzone Vlaamse Ardennen;Hoeksken;11;Zwalm;Oost-Vlaanderen;9630;10/04/2023;NA;NA;Belgium;11 Hoeksken , 9630 Zwalm Belgium;c(3.74362949606475, 50.9018407024405)
NA;Latemdreef;45;Zwalm;Oost-Vlaanderen;9630;8/09/2023;NA;NA;Belgium;45 Latemdreef , 9630 Zwalm Belgium;c(3.70585339607262, 50.88948330244)
NA;Meilegemstraat;76;Zwalm;Oost-Vlaanderen;9630;7/10/2023;NA;NA;Belgium;76 Meilegemstraat , 9630 Zwalm Belgium;c(3.70187549607524, 50.905359902435)
NA;Rozenlaan;26;Zwalm;Oost-Vlaanderen;9630;26/06/2023;NA;NA;Belgium;26 Rozenlaan , 9630 Zwalm Belgium;c(3.72951472296745, 50.874112452447)
NA;Sint-Annastraat;20;Zwalm;Oost-Vlaanderen;9630;8/07/2023;NA;NA;Belgium;20 Sint-Annastraat , 9630 Zwalm Belgium;c(3.75033539605844, 50.8569811024542)
NA;Zuidlaan;143;Zwalm;Oost-Vlaanderen;9630;30/06/2023;NA;NA;Belgium;143 Zuidlaan , 9630 Zwalm Belgium;c(3.7351550842697, 50.8708990024485)
Branweerzone Midwest;Broekstraat;1;Aarschot;Vlaams-Brabant;3201;10/12/2023;Boom 31m dia 55cm lans+poeder;NA;Belgium;1 Broekstraat , 3201 Aarschot Belgium;c(4.88972060289419, 51.0006715525399)
NA;Demerstraat;24;Aarschot;Vlaams-Brabant;3200;30/05/2023;NA;NA;Belgium;24 Demerstraat , 3200 Aarschot Belgium;c(4.82283056226427, 50.9863767025365)
Branweerzone Midwest;Diestsesteenweg;1;Aarschot;Vlaams-Brabant;3200;9/05/2023;In boom 27m bol 45 cm lans + poeder;NA;Belgium;1 Diestsesteenweg , 3200 Aarschot Belgium;c(4.85215989580003, 50.9798780025417)
Branweerzone Midwest;Elsleukenstraat;13;Aarschot;Vlaams-Brabant;3201;9/02/2023;Primair nest aan oversteek op 2m hoog, bol van 30cm, zaktechniek;NA;Belgium;13 Elsleukenstraat , 3201 Aarschot Belgium;c(4.90316607157045, 51.0178235525365)
Branweerzone Midwest;Herseltsesteenweg;243;Aarschot;Vlaams-Brabant;3200;18/09/2023;Muur kerkhof: poeder;NA;Belgium;243 Herseltsesteenweg , 3200 Aarschot Belgium;c(4.83701793510129, 51.0051349025326)
Hulpverleningszone oost (Vlaams-Brabant);Herseltsesteenweg;1;Aarschot;Vlaams-Brabant;3200;12/11/2023;In boom 12m, dia 65cm, nest is dood, uit boom gehaald;NA;Belgium;1 Herseltsesteenweg , 3200 Aarschot Belgium;c(4.84068359438375, 50.9920442525369)
Branweerzone Midwest;Nopstal;24;Aarschot;Vlaams-Brabant;3202;9/09/2023;NA;NA;Belgium;24 Nopstal , 3202 Aarschot Belgium;c(4.87150036988065, 50.9755185025452)
Branweerzone Midwest;Gelroodsesteenweg;1;Begijnendijk;Vlaams-Brabant;3130;10/06/2023;27m hoog 40cm dia lans+poeder;NA;Belgium;1 Gelroodsesteenweg , 3130 Begijnendijk Belgium;c(4.78154754290466, 50.9840791525325)
Branweerzone Midwest;Raystraat;10;Begijnendijk;Vlaams-Brabant;3130;18/07/2023;Onder carport;NA;Belgium;10 Raystraat , 3130 Begijnendijk Belgium;c(4.77477534630656, 50.9876995025306)
Hulpverleningszone oost (Vlaams-Brabant);Egenhovenstraat;66;Bertem;Vlaams-Brabant;3060;22/11/2023;In boom 15m, dia 60cm, lans met poeder;NA;Belgium;66 Egenhovenstraat , 3060 Bertem Belgium;c(4.63615592617435, 50.8621596025516)
Hulpverleningszone oost (Vlaams-Brabant);Egenhovenstraat;66;Bertem;Vlaams-Brabant;3060;23/11/2023;In boom 15m, dia 60cm;NA;Belgium;66 Egenhovenstraat , 3060 Bertem Belgium;c(4.63615592617435, 50.8621596025516)
Branweerzone Midwest;Hertwinkel;12;Bertem;Vlaams-Brabant;3061;6/09/2023;Primair nest in tuinhuis;NA;Belgium;12 Hertwinkel , 3061 Bertem Belgium;c(4.59273714191493, 50.8428937525523)
NA;Hofakker;7;Bertem;Vlaams-Brabant;3061;16/10/2023;NA;NA;Belgium;7 Hofakker , 3061 Bertem Belgium;c(4.58743219585246, 50.8526658025488)
Branweerzone Midwest;Hofakker;1;Bertem;Vlaams-Brabant;3061;16/10/2023;Haag 1m 30cm dia poeder+nest weg;NA;Belgium;1 Hofakker , 3061 Bertem Belgium;c(4.58728999585253, 50.8529366025487)
NA;Paardenstraat;29;Bertem;Vlaams-Brabant;3060;18/07/2023;NA;NA;Belgium;29 Paardenstraat , 3060 Bertem Belgium;c(4.63328643962512, 50.8605064525517)
Branweerzone Midwest;Ruisbroekstraat;1;Bierbeek;Vlaams-Brabant;3360;10/05/2023;27m hoog 45cm dia lans+poeder;NA;Belgium;1 Ruisbroekstraat , 3360 Bierbeek Belgium;c(4.75112064581023, 50.8388611025715)
Branweerzone Midwest;Waversesteenweg;67;Bierbeek;Vlaams-Brabant;3360;30/08/2023;In paardentrailer, zaktechniek;NA;Belgium;67 Waversesteenweg , 3360 Bierbeek Belgium;c(4.78799920460305, 50.8108160025841)
Hulpverleningszone oost (Vlaams-Brabant);Kallebeekstraat;1;Boortmeerbeek;Vlaams-Brabant;3191;11/08/2023;In boom 30m, dia 60cm;NA;Belgium;1 Kallebeekstraat , 3191 Boortmeerbeek Belgium;c(4.55742438396683, 50.987677052506)
Branweerzone Midwest;Lubbeeksestraat;142;Boutersem;Vlaams-Brabant;3370;25/09/2023;28m 40 cm dia;NA;Belgium;142 Lubbeeksestraat , 3370 Boutersem Belgium;c(4.86277476268819, 50.8416725525836)
Hulpverleningszone oost (Vlaams-Brabant);Demerstraat;1;Diest;Vlaams-Brabant;3290;29/11/2023;Vlierstruik 8m, dia 75cm, lans met poeder;NA;Belgium;1 Demerstraat , 3290 Diest Belgium;c(5.04854609575162, 50.987482402562)
Branweerzone Midwest;Kruisstraat;54;Diest;Vlaams-Brabant;3294;18/07/2023;Op voetweg;NA;Belgium;54 Kruisstraat , 3294 Diest Belgium;c(5.03427563525891, 51.0001429025567)
Branweerzone Midwest;Glabbeekstraat;149;Geetbets;Vlaams-Brabant;3450;6/05/2023;2 Nesten: 1 in veranda en 1 in tuinhuis;NA;Belgium;149 Glabbeekstraat , 3450 Geetbets Belgium;c(5.1008831883392, 50.8786279026002)
Branweerzone Midwest;Keerbergsesteenweg;3;Haacht;Vlaams-Brabant;3150;17/08/2023;klein nest op balkon, groot nest, 10m hoog in muur met lans;NA;Belgium;3 Keerbergsesteenweg , 3150 Haacht Belgium;c(4.63788826343943, 50.9780232025179)
Branweerzone Midwest;Kouterstraat;1;Haacht;Vlaams-Brabant;3150;10/12/2023;Spouw dakkapel 8m lans+poeder;NA;Belgium;1 Kouterstraat , 3150 Haacht Belgium;c(4.64541551217135, 50.9431899525289)
Branweerzone Midwest;M. Francisstraat;17;Haacht;Vlaams-Brabant;3150;9/11/2023;Prim+sec zak + lans 10m 50cm dia;NA;Belgium;17 M. Francisstraat , 3150 Haacht Belgium;c(4.60748269585885, 50.9597496525198)
Branweerzone Midwest;Schoolstraat;2;Herent;Vlaams-Brabant;3020;29/08/2023;5m in gevel, poeder lans;NA;Belgium;2 Schoolstraat , 3020 Herent Belgium;c(4.67601582471589, 50.9065114025431)
NA;Scherpstraat;15;Herne;Vlaams-Brabant;1540;18/07/2023;NA;NA;Belgium;15 Scherpstraat , 1540 Herne Belgium;c(4.02194162974038, 50.7286948025213)
Hulpverleningszone oost (Vlaams-Brabant);Willem De Croylaan;63;Heverlee;Vlaams-Brabant;3001;18/10/2023;Seundair nest 7m 40cm dia;NA;Belgium;63 Willem De Croylaan , 3001 Heverlee Belgium;c(4.68108524582979, 50.8584612525578)
Branweerzone Midwest;Bundersdreef;2;Hoeilaart;Vlaams-Brabant;1560;10/12/2023;Boom telescopische stok;NA;Belgium;2 Bundersdreef , 1560 Hoeilaart Belgium;c(4.42580279588434, 50.775647802553)
