srt,locationID,date_setup,date_retrieval,fyke_nr,species_code,lifeStage,biomass_g,svl_cm,sex,state,albino,species,nubKey,surface,lat_Y,long_X,gemeente,provincie,gewest,geometry,eventID,Jaar
2319-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_3,Xenlae,adult,33,7.5,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2402-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,36,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2404-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,37,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2419-2,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,36,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
3633-1,p12e,2025-05-20T00:00:00Z,2025-05-21T00:00:00Z,SDSF_3,Xenlae,adult,40,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-05-20_2025-05-21,2025
3649-1,p12e,2025-05-21T00:00:00Z,2025-05-22T00:00:00Z,SDSF_1,Xenlae,adult,48,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-05-21_2025-05-22,2025
3725-1,p12e,2025-07-22T00:00:00Z,2025-07-23T00:00:00Z,SDSF_2,Xenlae,adult,49,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-22_2025-07-23,2025
4262-1,p12e,2025-09-23T00:00:00Z,2025-09-24T00:00:00Z,SDSF_4,Xenlae,adult,50,7.5,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-09-23_2025-09-24,2025
4137-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,subadult,40,7.5,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4145-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,subadult,35,7.5,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4153-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,subadult,33,7.5,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4198-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_5,Xenlae,subadult,32,7.5,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4209-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_6,Xenlae,subadult,32,7.5,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4242-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_10,Xenlae,subadult,34,7.5,NA,dead,NA,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4255-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_11,Xenlae,subadult,35,7.5,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4288-1,p5e,2025-09-23T00:00:00Z,2025-09-24T00:00:00Z,SDSF_11,Xenlae,subadult,35,7.5,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-23_2025-09-24,2025
2659-1,p7b,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_2,Xenlae,adult,34,7.5,M,alive,no,Xenopus laevis,5217334,,50.758111,2.838278,Heuvelland,West-Vlaanderen,flanders,"c(2.838278, 50.758111)",p7b_2024-08-06_2024-08-07,2024
2596-1,p9e,2024-08-06T00:00:00Z,2024-08-07T00:00:00Z,SDSF_2,Xenlae,adult,45,7.5,M,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-06_2024-08-07,2024
2738-1,p9e,2024-08-07T00:00:00Z,2024-08-08T00:00:00Z,SDSF_2,Xenlae,adult,43,7.5,M,alive,no,Xenopus laevis,5217334,,50.754028,2.890472,Mesen,West-Vlaanderen,flanders,"c(2.890472, 50.754028)",p9e_2024-08-07_2024-08-08,2024
2222-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_1,Xenlae,adult,38,7.4,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2228-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,adult,35,7.4,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2236-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,adult,37,7.4,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2252-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_3,Xenlae,adult,35,7.4,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2459-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_1,Xenlae,adult,38,7.4,M,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
2469-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,43,7.4,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
3146-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_2,Xenlae,adult,39,7.4,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
3159-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_3,Xenlae,adult,41,7.4,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
1092-1,p12e,2024-05-23T00:00:00Z,2024-05-24T00:00:00Z,SDSF_4,Xenlae,adult,NA,7.4,NA,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-05-23_2024-05-24,2024
1255-1,p12e,2024-06-12T00:00:00Z,2024-06-13T00:00:00Z,FF_1-32,Xenlae,adult,40,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-06-12_2024-06-13,2024
2097-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_1,Xenlae,adult,39,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2126-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,44,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2144-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,37,7.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2165-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,28,7.4,NA,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2186-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_4,Xenlae,adult,30,7.4,NA,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2196-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_4,Xenlae,adult,32,7.4,NA,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2317-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_3,Xenlae,adult,37,7.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2322-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_3,Xenlae,adult,38,7.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2350-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_4,Xenlae,adult,41,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2399-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,36,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2417-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,adult,33,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2568-1,p12e,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,SDSF_3,Xenlae,adult,42,7.4,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-08-01_2024-08-02,2024
3262-1,p12e,2024-11-14T00:00:00Z,2024-11-15T00:00:00Z,SDSF_3,Xenlae,adult,41,7.4,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-11-14_2024-11-15,2024
1310-1,p41a,2024-06-13T00:00:00Z,2024-06-14T00:00:00Z,SDSF_3a,Xenlae,adult,40,7.4,M,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2024-06-13_2024-06-14,2024
4141-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,subadult,31,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4146-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_3,Xenlae,subadult,34,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4197-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_4,Xenlae,subadult,36,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4212-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_6,Xenlae,subadult,38,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4222-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_6,Xenlae,subadult,34,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4223-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_6,Xenlae,subadult,35,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4230-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_7,Xenlae,subadult,32,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4237-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_8,Xenlae,subadult,29,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4248-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_10,Xenlae,subadult,33,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4254-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_11,Xenlae,subadult,35,7.4,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4272-1,p5e,2025-09-23T00:00:00Z,2025-09-24T00:00:00Z,SDSF_4,Xenlae,subadult,37,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-23_2025-09-24,2025
4304-1,p5e,2025-09-24T00:00:00Z,2025-09-25T00:00:00Z,SDSF_11,Xenlae,subadult,37,7.4,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-24_2025-09-25,2025
2226-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,subadult,35,7.3,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2232-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,subadult,33,7.3,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2237-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,subadult,37,7.3,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2261-1,Fish passage,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_4,Xenlae,subadult,34,7.3,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-09_2024-07-10,2024
2453-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_1,Xenlae,subadult,42,7.3,M,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
2456-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_1,Xenlae,subadult,38,7.3,M,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
2482-1,Fish passage,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_3,Xenlae,subadult,39,7.3,M,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-07-31_2024-08-01,2024
2554-1,Fish passage,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,SDSF_2,Xenlae,adult,52,7.3,M,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-08-01_2024-08-02,2024
3000-1,Fish passage,2024-08-20T00:00:00Z,2024-08-21T00:00:00Z,SDSF_1,Xenlae,subadult,38,7.3,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-08-20_2024-08-21,2024
3024-1,Fish passage,2024-08-20T00:00:00Z,2024-08-21T00:00:00Z,SDSF_2,Xenlae,subadult,44,7.3,F,dead,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-08-20_2024-08-21,2024
3132-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_1,Xenlae,adult,50,7.3,M,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
3167-1,Fish passage,2024-09-10T00:00:00Z,2024-09-11T00:00:00Z,SDSF_4,Xenlae,subadult,43,7.3,F,alive,no,Xenopus laevis,5217334,,50.758028,2.855222,Heuvelland,West-Vlaanderen,flanders,"c(2.855222, 50.758028)",Fish_passage_2024-09-10_2024-09-11,2024
619-1,p12e,2024-05-07T00:00:00Z,2024-05-08T00:00:00Z,FF_1-17,Xenlae,adult,59,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-05-07_2024-05-08,2024
1056-1,p12e,2024-05-22T00:00:00Z,2024-05-23T00:00:00Z,FF_1-17,Xenlae,adult,62,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-05-22_2024-05-23,2024
2096-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_1,Xenlae,subadult,35,7.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2120-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,adult,46,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2121-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,subadult,39,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2150-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,subadult,35,7.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2156-1,p12e,2024-07-08T00:00:00Z,2024-07-09T00:00:00Z,SDSF_3,Xenlae,subadult,33,7.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-08_2024-07-09,2024
2303-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_2,Xenlae,subadult,34,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2353-1,p12e,2024-07-09T00:00:00Z,2024-07-10T00:00:00Z,SDSF_4,Xenlae,subadult,42,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-09_2024-07-10,2024
2400-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,subadult,33,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2405-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,subadult,34,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2413-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,subadult,36,7.3,F,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
2420-1,p12e,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,SDSF_2,Xenlae,subadult,32,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2024-07-31_2024-08-01,2024
3660-1,p12e,2025-06-10T00:00:00Z,2025-06-11T00:00:00Z,SDSF_1,Xenlae,subadult,39,7.3,M,dead,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-06-10_2025-06-11,2025
3693-1,p12e,2025-07-02T00:00:00Z,2025-07-03T00:00:00Z,SDSF_2,Xenlae,subadult,35,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-02_2025-07-03,2025
3724-1,p12e,2025-07-22T00:00:00Z,2025-07-23T00:00:00Z,SDSF_2,Xenlae,adult,43,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-07-22_2025-07-23,2025
3747-1,p12e,2025-08-11T00:00:00Z,2025-08-12T00:00:00Z,SDSF_4,Xenlae,adult,44,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-08-11_2025-08-12,2025
3748-1,p12e,2025-08-11T00:00:00Z,2025-08-12T00:00:00Z,SDSF_4,Xenlae,adult,43,7.3,M,alive,no,Xenopus laevis,5217334,,50.756722,2.918278,Mesen,West-Vlaanderen,flanders,"c(2.918278, 50.756722)",p12e_2025-08-11_2025-08-12,2025
790-1,p41a,2024-05-21T00:00:00Z,2024-05-22T00:00:00Z,SDSF_5a,Xenlae,subadult,40,7.3,M,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2024-05-21_2024-05-22,2024
1540-1,p41a,2024-06-18T00:00:00Z,2024-06-19T00:00:00Z,SSSF_6,Xenlae,subadult,31,7.3,M,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2024-06-18_2024-06-19,2024
1648-1,p41a,2024-06-19T00:00:00Z,2024-06-20T00:00:00Z,SDSF_4b,Xenlae,subadult,30,7.3,M,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2024-06-19_2024-06-20,2024
3468-1,p41a,2025-04-17T00:00:00Z,2025-04-18T00:00:00Z,SDSF_2a,Xenlae,subadult,36,7.3,M,alive,no,Xenopus laevis,5217334,,50.768028,2.770806,Heuvelland,West-Vlaanderen,flanders,"c(2.770806, 50.768028)",p41a_2025-04-17_2025-04-18,2025
4092-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_1,Xenlae,subadult,32,7.3,M,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4097-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_1,Xenlae,subadult,36,7.3,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
4099-1,p5e,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,SDSF_1,Xenlae,subadult,34,7.3,F,alive,no,Xenopus laevis,5217334,,50.75563,2.850164,Heuvelland,West-Vlaanderen,flanders,"c(2.850164, 50.75563)",p5e_2025-09-22_2025-09-23,2025
