year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2005,4,Pepingen,Vlaams-Brabant,flanders,2610229339,50.749831,4.148628,"c(4.148628, 50.749831)"
2001,600,Sint-Pieters-Leeuw,Vlaams-Brabant,flanders,2610229347,50.792409,4.235809,"c(4.235809, 50.792409)"
2001,3,Hasselt,Limburg,flanders,2610229778,50.957081,5.266164,"c(5.266164, 50.957081)"
2001,3,Hasselt,Limburg,flanders,2610229782,50.957081,5.266164,"c(5.266164, 50.957081)"
2001,2,Diest,Vlaams-Brabant,flanders,2610229950,51.014511,5.073282,"c(5.073282, 51.014511)"
2001,1,Rotselaar,Vlaams-Brabant,flanders,2610230024,50.975766,4.737151,"c(4.737151, 50.975766)"
2003,3,Ham,Limburg,flanders,2610230033,51.109855,5.161902,"c(5.161902, 51.109855)"
2002,1,Mol,Antwerpen,flanders,2610230155,51.191249,5.126334,"c(5.126334, 51.191249)"
2002,2,Geel,Antwerpen,flanders,2610230202,51.133066,4.991754,"c(4.991754, 51.133066)"
2005,2,Hulshout,Antwerpen,flanders,2610230282,51.048493,4.801377,"c(4.801377, 51.048493)"
2007,1,Dendermonde,Oost-Vlaanderen,flanders,2610230334,51.040845,4.072743,"c(4.072743, 51.040845)"
2003,2,Hal,Vlaams-Brabant,flanders,2610230396,50.724351,4.238883,"c(4.238883, 50.724351)"
2003,6,Huldenberg,Vlaams-Brabant,flanders,2610230517,50.76807,4.621548,"c(4.621548, 50.76807)"
2001,2,Aarschot,Vlaams-Brabant,flanders,2610230563,50.997062,4.838703,"c(4.838703, 50.997062)"
2002,2,Tremelo,Vlaams-Brabant,flanders,2610230585,50.99031,4.713314,"c(4.713314, 50.99031)"
2001,1,Haacht,Vlaams-Brabant,flanders,2610230597,50.963894,4.640467,"c(4.640467, 50.963894)"
2001,1,Heist-Op-Den-Berg,Antwerpen,flanders,2610230668,51.034147,4.706762,"c(4.706762, 51.034147)"
2001,1,Heist-Op-Den-Berg,Antwerpen,flanders,2610230669,51.034147,4.706762,"c(4.706762, 51.034147)"
2001,2,Putte,Antwerpen,flanders,2610230698,51.041234,4.641524,"c(4.641524, 51.041234)"
2002,4,Begijnendijk,Vlaams-Brabant,flanders,2610230726,51.019644,4.774418,"c(4.774418, 51.019644)"
2008,2,Hasselt,Limburg,flanders,2610230876,50.938653,5.347871,"c(5.347871, 50.938653)"
2004,3,Hasselt,Limburg,flanders,2610230910,50.957081,5.266164,"c(5.266164, 50.957081)"
2001,3,Lummen,Limburg,flanders,2610230930,50.998508,5.221913,"c(5.221913, 50.998508)"
2001,2,Heist-Op-Den-Berg,Antwerpen,flanders,2610231603,51.034147,4.706762,"c(4.706762, 51.034147)"
2004,2,Hasselt,Limburg,flanders,2610231758,50.949261,5.379981,"c(5.379981, 50.949261)"
2001,1,Diepenbeek,Limburg,flanders,2610231799,50.915826,5.4301450000000004,"c(5.430145, 50.915826)"
